"Name";"Status"
"AJRouter";"Stopped"
"ALG";"Stopped"
"AppIDSvc";"Stopped"
"Appinfo";"Running"
"AppMgmt";"Stopped"
"AppReadiness";"Stopped"
"AppXSvc";"Running"
"AudioEndpointBuilder";"Running"
"Audiosrv";"Running"
"avast! Antivirus";"Running"
"AxInstSV";"Stopped"
"BDESVC";"Stopped"
"BFE";"Running"
"BITS";"Running"
"BrokerInfrastructure";"Running"
"Browser";"Stopped"
"BthHFSrv";"Stopped"
"bthserv";"Stopped"
"CDPSvc";"Stopped"
"CertPropSvc";"Stopped"
"ClickToRunSvc";"Running"
"ClipSVC";"Stopped"
"COMSysApp";"Stopped"
"CoreMessagingRegistrar";"Running"
"cphs";"Stopped"
"CryptSvc";"Running"
"CscService";"Stopped"
"dbupdate";"Stopped"
"dbupdatem";"Stopped"
"DcomLaunch";"Running"
"DcpSvc";"Stopped"
"defragsvc";"Stopped"
"DeviceAssociationService";"Running"
"DeviceInstall";"Stopped"
"DevQueryBroker";"Stopped"
"Dhcp";"Running"
"diagnosticshub.standardcollector.service";"Stopped"
"DiagTrack";"Running"
"DmEnrollmentSvc";"Stopped"
"dmwappushservice";"Stopped"
"Dnscache";"Running"
"DoSvc";"Running"
"dot3svc";"Stopped"
"DPS";"Running"
"DsmSvc";"Stopped"
"DsSvc";"Running"
"Eaphost";"Running"
"EFS";"Stopped"
"embeddedmode";"Stopped"
"EntAppSvc";"Stopped"
"ETDService";"Running"
"EventLog";"Running"
"EventSystem";"Running"
"Fax";"Stopped"
"fdPHost";"Stopped"
"FDResPub";"Stopped"
"fhsvc";"Stopped"
"FontCache";"Running"
"gpsvc";"Running"
"gupdate";"Stopped"
"gupdatem";"Stopped"
"hidserv";"Stopped"
"HomeGroupProvider";"Stopped"
"icssvc";"Stopped"
"IEEtwCollectorService";"Stopped"
"IKEEXT";"Running"
"iphlpsvc";"Running"
"KeyIso";"Running"
"KtmRm";"Stopped"
"LanmanServer";"Running"
"LanmanWorkstation";"Running"
"lfsvc";"Running"
"LicenseManager";"Running"
"lltdsvc";"Stopped"
"lmhosts";"Running"
"LSM";"Running"
"MapsBroker";"Stopped"
"MpsSvc";"Running"
"MSDTC";"Stopped"
"MSiSCSI";"Stopped"
"msiserver";"Stopped"
"NcaSvc";"Stopped"
"NcbService";"Running"
"NcdAutoSetup";"Stopped"
"Netlogon";"Stopped"
"Netman";"Running"
"netprofm";"Running"
"NetSetupSvc";"Stopped"
"NetTcpPortSharing";"Stopped"
"NgcCtnrSvc";"Stopped"
"NgcSvc";"Stopped"
"NlaSvc";"Running"
"nsi";"Running"
"nvsvc";"Running"
"ose";"Stopped"
"p2pimsvc";"Stopped"
"p2psvc";"Stopped"
"PcaSvc";"Running"
"PeerDistSvc";"Stopped"
"PerfHost";"Stopped"
"pla";"Stopped"
"PlugPlay";"Running"
"PNRPAutoReg";"Stopped"
"PNRPsvc";"Stopped"
"PolicyAgent";"Running"
"Power";"Running"
"PrintNotify";"Stopped"
"ProfSvc";"Running"
"QWAVE";"Stopped"
"RasAuto";"Stopped"
"RasMan";"Stopped"
"RemoteAccess";"Stopped"
"RemoteRegistry";"Stopped"
"RetailDemo";"Stopped"
"rpcapd";"Stopped"
"RpcEptMapper";"Running"
"RpcLocator";"Stopped"
"RpcSs";"Running"
"SamSs";"Running"
"SCardSvr";"Stopped"
"ScDeviceEnum";"Stopped"
"Schedule";"Running"
"SCPolicySvc";"Stopped"
"SDRSVC";"Stopped"
"seclogon";"Stopped"
"SENS";"Running"
"SensorDataService";"Stopped"
"SensorService";"Stopped"
"SensrSvc";"Stopped"
"SessionEnv";"Stopped"
"SharedAccess";"Stopped"
"ShellHWDetection";"Running"
"SkypeUpdate";"Stopped"
"smphost";"Stopped"
"SmsRouter";"Stopped"
"SNMP";"Running"
"SNMPTRAP";"Stopped"
"Spooler";"Running"
"sppsvc";"Stopped"
"SSDPSRV";"Running"
"SstpSvc";"Stopped"
"StateRepository";"Running"
"Steam Client Service";"Running"
"stisvc";"Stopped"
"StorSvc";"Stopped"
"svsvc";"Stopped"
"swprv";"Stopped"
"SysMain";"Running"
"SystemEventsBroker";"Running"
"TabletInputService";"Stopped"
"TapiSrv";"Stopped"
"TermService";"Stopped"
